"The following return values of SSL_connect_APIName can occur, 0, 1, <0",null,"The following return values of SSL_connect_APIName can occur, 0, 1, <0",SSL_connect_APIName initiates the TLS/SSL handshake with a server. The communication channel must already have been set and assigned to the ssl by setting an underlying BIO.
This is because the code becomes transparent to the algorithm used and much more flexible,null,This is because the code then becomes transparent to the algorithm used and much more flexible,The EVP_SignInit_ex_APIParam_1 EVP_SignFinal_APIParam_1 EVP_PKEY_size_APIParam_1 EVP_SignInit_APIParam_1 EVP_SignUpdate_APIParam_1 interface to digital signatures should almost always be used in preference to the low level interfaces. This is because the code then becomes transparent to the algorithm used and much more flexible.
A list of algorithms and associated public key algorithms appears in EVP_DigestInit_APIName,null,A list of algorithms and associated public key algorithms appears in EVP_DigestInit_APIName,Due to the link between message digests and public key algorithms the correct digest algorithm must be used with the correct public key type. A list of algorithms and associated public key algorithms appears in EVP_DigestInit_APIName .
The EVP_SignInit_ex_APIParam_1 EVP_SignFinal_APIParam_1 EVP_PKEY_size_APIParam_1 EVP_SignInit_APIParam_1 EVP_SignUpdate_APIParam_1 interface to digital signatures should almost always be used in preference to the low level interfaces,null,The EVP_SignInit_ex_APIParam_1 EVP_SignFinal_APIParam_1 EVP_PKEY_size_APIParam_1 EVP_SignInit_APIParam_1 EVP_SignUpdate_APIParam_1 interface to digital signatures should almost always be used in preference to the low level interfaces,The EVP_SignInit_ex_APIParam_1 EVP_SignFinal_APIParam_1 EVP_PKEY_size_APIParam_1 EVP_SignInit_APIParam_1 EVP_SignUpdate_APIParam_1 interface to digital signatures should almost always be used in preference to the low level interfaces. This is because the code then becomes transparent to the algorithm used and much more flexible.
The random number generator does not need to be seeded for RSA signatures,null,The random number generator does not need to be seeded for RSA signatures,When signing with DSA private keys the random number generator must be seeded or the operation will fail. The random number generator does not need to be seeded for RSA signatures.
Due to the link between message digests and public key algorithms the correct digest algorithm must be used with the correct public key type,null,Due to the link between message digests and public key algorithms the correct digest algorithm must be used with the correct public key type,Due to the link between message digests and public key algorithms the correct digest algorithm must be used with the correct public key type. A list of algorithms and associated public key algorithms appears in EVP_DigestInit_APIName .
The call to EVP_SignFinal_APIName internally finalizes a copy of the digest context,null,The call to EVP_SignFinal_APIName internally finalizes a copy of the digest context,The call to EVP_SignFinal_APIName internally finalizes a copy of the digest context. This means that calls to EVP_SignUpdate_APIName and EVP_SignFinal_APIName can be called later to digest and sign additional data.
This means that calls to EVP_SignUpdate_APIName and EVP_SignFinal_APIName can be called later to digest and sign additional data,null,This means that calls to EVP_SignUpdate_APIName and EVP_SignFinal_APIName can be called later to digest and sign additional data,The call to EVP_SignFinal_APIName internally finalizes a copy of the digest context. This means that calls to EVP_SignUpdate_APIName and EVP_SignFinal_APIName can be called later to digest and sign additional data.
It is not possible to change the signing parameters using these function,null,It is not possible to change the signing parameters using these function,It is not possible to change the signing parameters using these function.
Older versions of this documentation wrongly stated that calls to EVP_SignUpdate_APIName could not be made after calling EVP_SignFinal_APIName,null,Older versions of this documentation wrongly stated that calls to EVP_SignUpdate_APIName could not be made after calling EVP_SignFinal_APIName,Older versions of this documentation wrongly stated that calls to EVP_SignUpdate_APIName could not be made after calling EVP_SignFinal_APIName.
The previous two bugs are fixed in the newer EVP_SignDigest * _ APIName function,null,The previous two bugs are fixed in the newer EVP_SignDigest*_APIName function,The previous two bugs are fixed in the newer EVP_SignDigest*_APIName function.
"MD2 , MD4 , and MD5 are cryptographic hash functions with a 128 bit output",null,"MD2, MD4, and MD5 are cryptographic hash functions with a 128 bit output","MD2, MD4, and MD5 are cryptographic hash functions with a 128 bit output."
the context must be cleaned up after use by calling EVP_MD_CTX_cleanup_APIName or a memory leak will occur,null," , the context must be cleaned up after use by calling EVP_MD_CTX_cleanup_APIName or a memory leak will occur","Since only a copy of the digest context is ever finalized, the context must be cleaned up after use by calling EVP_MD_CTX_cleanup_APIName or a memory leak will occur."
MD2_Init_APIName initializes a MD2_Init_APIParam_1 structure,null,MD2_Init_APIName initializes a MD2_Init_APIParam_1 structure,MD2_Init_APIName initializes a MD2_Init_APIParam_1 structure.
it can supply keys of different size and does give away key length if a longer key would be allowed,while the explicit setting of the key is only useful for key size of 512 bits to satisfy the export restricted ciphers,Another advantage of the callback function is that it can supply keys of different size while the explicit setting of the key is only useful for key size of 512 bits to satisfy the export restricted ciphers and does give away key length if a longer key would be allowed,"An application may either directly specify the key or can supply the key via a callback function. The callback approach has the advantage, that the callback may generate the key only in case it is actually needed. As the generation of a RSA key is however costly, it will lead to a significant delay in the handshake procedure. Another advantage of the callback function is that it can supply keys of different size while the explicit setting of the key is only useful for key size of 512 bits to satisfy the export restricted ciphers and does give away key length if a longer key would be allowed."
Another advantage of the callback function is that,null,Another advantage of the callback function is that it can supply keys of different size while the explicit setting of the key is only useful for key size of 512 bits to satisfy the export restricted ciphers and does give away key length if a longer key would be allowed,"An application may either directly specify the key or can supply the key via a callback function. The callback approach has the advantage, that the callback may generate the key only in case it is actually needed. As the generation of a RSA key is however costly, it will lead to a significant delay in the handshake procedure. Another advantage of the callback function is that it can supply keys of different size while the explicit setting of the key is only useful for key size of 512 bits to satisfy the export restricted ciphers and does give away key length if a longer key would be allowed."
Applications should use the higher level functions EVP_DigestInit_APIName etc instead of calling the hash functions directly,null,Applications should use the higher level functions EVP_DigestInit_APIName etc instead of calling the hash functions directly,Applications should use the higher level functions EVP_DigestInit_APIName etc instead of calling the hash functions directly.
"MD2 , MD4 , and MD5 are recommended only for compatibility with existing applications",null,"MD2, MD4, and MD5 are recommended only for compatibility with existing applications","MD2, MD4, and MD5 are recommended only for compatibility with existing applications. In new applications, SHA-1 or RIPEMD-160 should be preferred."
