If the threading mode is Single-thread or Multi-thread this routine returns a NULL pointer,null,If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.,This interface returns a pointer the sqlite3_mutex object that serializes access to the database connection given in the argument when the threading mode is Serialized.If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.
The wal_autocheckpoint pragma can be used to invoke this interface from SQL,null,The wal_autocheckpoint pragma can be used to invoke this interface from SQL.,The wal_autocheckpoint pragma can be used to invoke this interface from SQL.
Checkpoints initiated by this mechanism are PASSIVE,null,Checkpoints initiated by this mechanism are PASSIVE.,Checkpoints initiated by this mechanism are PASSIVE.
Passing zero or a negative value as the nFrame parameter disables automatic checkpoints entirely,null,Passing zero or a negative value as the nFrame parameter disables automatic checkpoints entirely.,The sqlite3_wal_autocheckpoint_APIName is a wrapper around sqlite3_wal_hook_APIName that causes any database on database connection D to automatically checkpoint after committing a transaction if there are sqlite3_wal_autocheckpoint_APIParam_2 or more frames in the write-ahead log file.Passing zero or a negative value as the nFrame parameter disables automatic checkpoints entirely.
will contain embedded NULs,If any NUL characters occur at byte offsets less than the value of the fourth parameter the resulting string value,If any NUL characters occur at byte offsets less than the value of the fourth parameter then the resulting string value will contain embedded NULs.,"In those routines that have a fourth argument, its value is the number of bytes in the parameter.To be clear: the value is the number of bytes in the value, not the number of characters.If the fourth parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName is negative, then the length of the string is the number of bytes up to the first zero terminator.If the fourth parameter to sqlite3_bind_blob_APIName is negative, then the behavior is undefined.If a non-negative fourth parameter is provided to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_text64_APIName then that parameter must be the byte offset where the NUL terminator would occur assuming the string were NUL terminated.If any NUL characters occur at byte offsets less than the value of the fourth parameter then the resulting string value will contain embedded NULs.The result of expressions involving strings with embedded NULs is undefined."
This API makes sure a global version of a function with a particular name and number of parameters exists,null,This API makes sure a global version of a function with a particular name and number of parameters exists.,"This API makes sure a global version of a function with a particular name and number of parameters exists.If no such function exists before this API is called, a new function is created.The implementation of the new function always causes an exception to be thrown.So the new function is not good for anything by itself.Its only purpose is to be a placeholder function that can be overloaded by a virtual table."
offset where the NUL terminator would occur assuming the string were NUL terminated,If a non-negative fourth parameter is provided to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_text64_APIName that parameter must be the byte,If a non-negative fourth parameter is provided to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_text64_APIName then that parameter must be the byte offset where the NUL terminator would occur assuming the string were NUL terminated.,"In those routines that have a fourth argument, its value is the number of bytes in the parameter.To be clear: the value is the number of bytes in the value, not the number of characters.If the fourth parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName is negative, then the length of the string is the number of bytes up to the first zero terminator.If the fourth parameter to sqlite3_bind_blob_APIName is negative, then the behavior is undefined.If a non-negative fourth parameter is provided to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_text64_APIName then that parameter must be the byte offset where the NUL terminator would occur assuming the string were NUL terminated.If any NUL characters occur at byte offsets less than the value of the fourth parameter then the resulting string value will contain embedded NULs.The result of expressions involving strings with embedded NULs is undefined."
the length of the string is the number of bytes up to the first zero terminator,If the fourth parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName is negative,"If the fourth parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName is negative, then the length of the string is the number of bytes up to the first zero terminator.","In those routines that have a fourth argument, its value is the number of bytes in the parameter.To be clear: the value is the number of bytes in the value, not the number of characters.If the fourth parameter to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName is negative, then the length of the string is the number of bytes up to the first zero terminator.If the fourth parameter to sqlite3_bind_blob_APIName is negative, then the behavior is undefined.If a non-negative fourth parameter is provided to sqlite3_bind_text_APIName or sqlite3_bind_text16_APIName or sqlite3_bind_text64_APIName then that parameter must be the byte offset where the NUL terminator would occur assuming the string were NUL terminated.If any NUL characters occur at byte offsets less than the value of the fourth parameter then the resulting string value will contain embedded NULs.The result of expressions involving strings with embedded NULs is undefined."
a new function is created,If no such function exists before this API is called,"If no such function exists before this API is called, a new function is created.","This API makes sure a global version of a function with a particular name and number of parameters exists.If no such function exists before this API is called, a new function is created.The implementation of the new function always causes an exception to be thrown.So the new function is not good for anything by itself.Its only purpose is to be a placeholder function that can be overloaded by a virtual table."
"If any of the sqlite3_bind _ * _ APIName routines are called with a NULL pointer for the prepared statement or with a prepared statement  , the call will return SQLITE_MISUSE_API_constant",null,"If any of the sqlite3_bind _ * _ APIName routines are called with a NULL pointer for the prepared statement or with a prepared statement  , then the call will return SQLITE_MISUSE_API_constant .","If any of the sqlite3_bind_*_APIName routines are called with a NULL pointer for the prepared statement or with a prepared statement for which sqlite3_step_APIName has been called more recently than sqlite3_reset_APIName, then the call will return SQLITE_MISUSE_API_constant.If any sqlite3_bind__APIName routine is passed a prepared statement that has been finalized, the result is undefined and probably harmful."
"Likewise , registering a callback using sqlite3_wal_hook_APIName disables the automatic checkpoint mechanism configured by sqlite3_wal_autocheckpoint_APIName",null,"Likewise, registering a callback using sqlite3_wal_hook_APIName disables the automatic checkpoint mechanism configured by sqlite3_wal_autocheckpoint_APIName.","The callback registered by sqlite3_wal_autocheckpoint_APIName replaces any existing callback registered using sqlite3_wal_hook_APIName.Likewise, registering a callback using sqlite3_wal_hook_APIName disables the automatic checkpoint mechanism configured by sqlite3_wal_autocheckpoint_APIName."
